CSV Name,DER Mean,DER Median,DER Std,FA Mean,FA Median,FA Std,Missed Mean,Missed Median,Missed Std,Confusion Mean,Confusion Median,Confusion Std,Correct Mean,Correct Median,Correct Std
model_N-vad_MN-embedding_ET-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,64.605,59.519999999999996,16.455739120440626,8.259999999999998,8.165,5.500227967303509,47.23857142857143,38.935,21.725446213756193,9.105,8.34,5.062291591151793,43.654999999999994,51.885000000000005,20.048762382673974
model_N-vad_MMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,72.54357142857143,73.045,14.669130647589308,5.010714285714285,3.78,4.609007008499293,58.03642857142858,58.900000000000006,21.633126523616813,9.494285714285715,9.73,5.137189764970598,32.46928571428571,31.165,17.98317652452113
model_N-vad_MMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,71.65428571428572,73.965,17.44248866959675,4.741428571428571,2.745,4.920074822981483,58.07714285714286,58.705,21.451714089150016,8.836428571428572,8.715,5.219451204783974,33.087857142857146,30.58,19.846036681867286
model_N-vad_TMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,72.06785714285714,67.98,15.820381293942138,12.193571428571428,11.35,9.986590707345723,49.4257142857143,40.785,26.62518579618401,10.448571428571428,10.46,6.34590219947288,40.12642857142857,42.885,21.481648915059804
model_N-vad_TMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_OVERLAP-params_OLD,70.12928571428571,69.625,17.244181388463815,10.281428571428572,7.265,8.491629233131121,49.7,41.58,26.425715622360087,10.150000000000002,6.529999999999999,7.882841151221088,40.151428571428575,49.855000000000004,21.996111144802516
model_N-vad_MN-embedding_TL-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,66.53857142857143,63.295,15.038457806132023,10.066428571428572,11.18,6.109516671230544,44.573571428571434,37.39,22.733715594360607,11.897857142857143,12.17,7.461589002321185,43.527857142857144,50.504999999999995,18.787522937627198
model_N-vad_MN-embedding_ET-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,63.31714285714287,59.364999999999995,17.78716669121586,9.310714285714285,8.989999999999998,5.739299694998597,44.573571428571434,37.39,22.733715594360607,9.433571428571428,8.165,5.197802208837674,45.99428571428571,52.95,21.492911430474976
model_N-vad_MMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,71.32499999999999,71.83500000000001,15.631989267573669,5.632142857142858,3.96,5.013459083110381,55.79928571428571,56.655,22.563821097665894,9.895714285714288,9.739999999999998,5.3254508141214085,34.307857142857145,33.18,18.993040903111137
model_N-vad_MMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,70.22714285714285,73.46000000000001,19.08098708484098,5.251428571428572,3.085,5.090577807831092,55.79928571428571,56.655,22.563821097665894,9.176428571428572,8.905,5.404682595309733,35.02428571428571,31.42,21.205466535518877
model_N-vad_TMN-embedding_TL-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,71.13571428571429,67.39,16.985782613380252,13.703571428571431,13.514999999999999,10.786388578733318,46.46499999999998,37.385,28.230944219746913,10.967142857142859,10.84,6.474019591438511,42.56785714285716,47.075,22.95513422663081
model_N-vad_TMN-embedding_ET-audio_RAW-speaker_FIXED-overlap_NO_OVERLAP-params_OLD,68.71285714285715,68.38499999999999,18.850869977300754,11.499285714285715,8.485,8.936006218823774,46.46499999999998,37.385,28.230944219746913,10.74642857142857,6.9399999999999995,8.181553930964137,42.78785714285714,51.965,23.77123315741478
model_N-vad_MN-embedding_TL-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,67.5757142857143,71.88,17.91178027242051,10.073571428571427,7.63,7.682996818292333,47.057142857142864,39.115,21.82075033207944,10.445714285714287,9.04,6.10378156969509,42.49857142857143,46.945,20.02671556356
model_N-vad_MN-embedding_ET-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,62.987857142857145,59.379999999999995,18.48360486758735,7.243571428571428,5.415,5.810174904216087,47.19714285714286,39.47,21.658753578943696,8.545714285714286,7.865,4.201349076895903,44.25428571428571,53.305,20.328543295757143
model_N-vad_MMN-embedding_TL-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,70.67142857142856,72.3,16.590592726993425,5.2,2.965,5.417803983165134,57.91357142857142,58.59,21.74679626524785,7.555714285714286,5.03,5.732600046811507,34.529999999999994,34.83,18.43036916863869
model_N-vad_MMN-embedding_ET-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,67.95142857142856,65.58,17.896320144802807,3.837142857142857,2.44,3.712375206027762,57.99,58.685,21.64474674230358,6.123571428571428,5.43,2.9368130480370858,35.885714285714286,36.89,19.81397941403443
model_N-vad_TMN-embedding_TL-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,71.60499999999999,72.23,16.496066547467052,11.817142857142857,8.89,9.790822569805185,49.54285714285715,41.71,26.533077303788023,10.244285714285715,8.35,7.235980306013207,40.212857142857146,48.475,21.986513848466092
model_N-vad_TMN-embedding_ET-audio_RAW-speaker_AUTO-overlap_OVERLAP-params_OLD,65.22785714285716,65.78,21.654954017879685,8.672142857142857,4.7299999999999995,9.134156673271383,49.69571428571429,42.22,26.50881789845836,6.859285714285714,5.734999999999999,3.7774054267766597,43.445,49.765,25.13768661713998
model_N-vad_MN-embedding_TL-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,67.23428571428572,71.295,19.007446603203345,11.552857142857144,9.184999999999999,8.952061583423486,44.573571428571434,37.39,22.733715594360607,11.109285714285717,9.175,6.620022617072351,44.315714285714286,47.34,21.008428606810945
model_N-vad_MN-embedding_ET-audio_RAW-speaker_AUTO-overlap_NO_OVERLAP-params_OLD,62.00214285714286,58.620000000000005,19.443651595382935,8.589285714285714,6.6850000000000005,7.143028300147163,44.573571428571434,37.39,22.733715594360607,8.839285714285714,8.094999999999999,4.076290667309632,46.585,54.925,21.586001072632524
